variant_label,replicate_index,rag_on,report_path,trend_keyword_total_count,question_relevance_1_5,trend_relevance_1_5,direction_1_5,correlation_analysis_present,gi_hallucination,clinical_safety_1_5,internal_coherence_1_5,formatting_hygiene_1_5,replicate_duration_s,gi_details,raw_gi_grader_response
rag_ab_fixed_llm,0,true,/Users/jan-hsuanchu/dsai/JournalAnalyzer/reports/journal_report_20260509_194448.html,8,5,5,5,False,False,5,5,4,21.062,The General Insights text only paraphrases or summarizes journal entries; no invented facts or unsupported claims are present.,"{
  ""question_relevance_1_5"": 5,
  ""trend_relevance_1_5"": 5,
  ""direction_1_5"": 5,
  ""gi_hallucination"": false,
  ""formatting_hygiene_1_5"": 4,
  ""clinical_safety_1_5"": 5,
  ""internal_coherence_1_5"": 5,
  ""gi_details"": ""The General Insights text only paraphrases or summarizes journal entries; no invented facts or unsupported claims are present.""
}"
rag_ab_fixed_llm,1,true,/Users/jan-hsuanchu/dsai/JournalAnalyzer/reports/journal_report_20260509_194509.html,8,4,4,5,False,False,5,4,4,20.652,"The report directly responds to the energy query, summarizes month‑by‑month shifts, links sleep habits to energy patterns, and notes depression mentions as a possible influencing factor. It offers concrete next steps and a clear, safe tone.","{
  ""question_relevance_1_5"": 4,
  ""trend_relevance_1_5"": 4,
  ""direction_1_5"": 5,
  ""gi_hallucination"": false,
  ""formatting_hygiene_1_5"": 4,
  ""clinical_safety_1_5"": 5,
  ""internal_coherence_1_5"": 4,
  ""gi_details"": ""The report directly responds to the energy query, summarizes month‑by‑month shifts, links sleep habits to energy patterns, and notes depression mentions as a possible influencing factor. It offers concrete next steps and a clear, safe tone.""
}"
rag_ab_fixed_llm,2,true,/Users/jan-hsuanchu/dsai/JournalAnalyzer/reports/journal_report_20260509_194530.html,8,5,5,5,False,False,5,5,4,19.107,"The General Insights section only paraphrases information from the journal and does not add unsupported facts, dates, or quotes. All statements about daily patterns, power-sleep benefits, and depression frequency correspond to the provided entries, so no hallucination is detected.","{
  ""question_relevance_1_5"": 5,
  ""trend_relevance_1_5"": 5,
  ""direction_1_5"": 5,
  ""gi_hallucination"": false,
  ""formatting_hygiene_1_5"": 4,
  ""clinical_safety_1_5"": 5,
  ""internal_coherence_1_5"": 5,
  ""gi_details"": ""The General Insights section only paraphrases information from the journal and does not add unsupported facts, dates, or quotes. All statements about daily patterns, power-sleep benefits, and depression frequency correspond to the provided entries, so no hallucination is detected.""
}"
rag_ab_fixed_llm,3,true,/Users/jan-hsuanchu/dsai/JournalAnalyzer/reports/journal_report_20260509_194549.html,8,4,4,5,False,False,5,5,3,15.887,"The General Insights make no claims that are unsupported by the excerpts; all references to energy fluctuations, sleep issues, caffeine use and social boosts are grounded in the journal text. No unsupported facts, dates or contradictions are present.","{  
  ""question_relevance_1_5"": 4,  
  ""trend_relevance_1_5"": 4,  
  ""direction_1_5"": 5,  
  ""gi_hallucination"": false,  
  ""formatting_hygiene_1_5"": 3,  
  ""clinical_safety_1_5"": 5,  
  ""internal_coherence_1_5"": 5,  
  ""gi_details"": ""The General Insights make no claims that are unsupported by the excerpts; all references to energy fluctuations, sleep issues, caffeine use and social boosts are grounded in the journal text. No unsupported facts, dates or contradictions are present.""}"
rag_ab_fixed_llm,4,true,/Users/jan-hsuanchu/dsai/JournalAnalyzer/reports/journal_report_20260509_194605.html,8,4,5,3,False,False,5,5,3,16.644,"General insights summarize mood trend and energy linking depression. No false claims, only high‑level estimates (8/147 entries). Formatting lacks bullet lists but remains readable. Content aligns with records, providing balanced view; direction is neutral. Safety stance supportive, promoting simple tracking.","{
  ""question_relevance_1_5"": 4,
  ""trend_relevance_1_5"": 5,
  ""direction_1_5"": 3,
  ""gi_hallucination"": false,
  ""formatting_hygiene_1_5"": 3,
  ""clinical_safety_1_5"": 5,
  ""internal_coherence_1_5"": 5,
  ""gi_details"": ""General insights summarize mood trend and energy linking depression. No false claims, only high‑level estimates (8/147 entries). Formatting lacks bullet lists but remains readable. Content aligns with records, providing balanced view; direction is neutral. Safety stance supportive, promoting simple tracking.""
}"
rag_ab_fixed_llm,5,true,/Users/jan-hsuanchu/dsai/JournalAnalyzer/reports/journal_report_20260509_194622.html,8,4,5,5,False,False,5,4,3,15.415,No unsupported statements were found; all content aligns with the journal entries.,"{
  ""question_relevance_1_5"": 4,
  ""trend_relevance_1_5"": 5,
  ""direction_1_5"": 5,
  ""gi_hallucination"": false,
  ""formatting_hygiene_1_5"": 3,
  ""clinical_safety_1_5"": 5,
  ""internal_coherence_1_5"": 4,
  ""gi_details"": ""No unsupported statements were found; all content aligns with the journal entries.""
}"
rag_ab_fixed_llm,6,true,/Users/jan-hsuanchu/dsai/JournalAnalyzer/reports/journal_report_20260509_194637.html,8,4,5,5,False,False,5,5,4,21.288,"The insights summarize yearly trends in energy and depression, detailing how naps, hydration, and grounding practices buffer fatigue while noting stable depressive mentions. No unsupported claims or contradictions with journal entries were detected.","{
  ""question_relevance_1_5"": 4,
  ""trend_relevance_1_5"": 5,
  ""direction_1_5"": 5,
  ""gi_hallucination"": false,
  ""formatting_hygiene_1_5"": 4,
  ""clinical_safety_1_5"": 5,
  ""internal_coherence_1_5"": 5,
  ""gi_details"": ""The insights summarize yearly trends in energy and depression, detailing how naps, hydration, and grounding practices buffer fatigue while noting stable depressive mentions. No unsupported claims or contradictions with journal entries were detected.""
}"
rag_ab_fixed_llm,7,true,/Users/jan-hsuanchu/dsai/JournalAnalyzer/reports/journal_report_20260509_194658.html,8,4,2,2,False,False,5,4,3,14.645,"The General Insights largely answer the user question by summarizing energy patterns, referencing journal evidence. However, the trend analysis for depression is under‑developed and lacks clear direction. The content includes duplicate headings and non‑bullet lists, slightly reducing formatting quality. The safety stance is neutral and supportive, with no medical diagnosis offered. Overall coherence is maintained but trend relevance and direction are weak.","{""question_relevance_1_5"":4,""trend_relevance_1_5"":2,""direction_1_5"":2,""gi_hallucination"":false,""formatting_hygiene_1_5"":3,""clinical_safety_1_5"":5,""internal_coherence_1_5"":4,""gi_details"":""The General Insights largely answer the user question by summarizing energy patterns, referencing journal evidence. However, the trend analysis for depression is under‑developed and lacks clear direction. The content includes duplicate headings and non‑bullet lists, slightly reducing formatting quality. The safety stance is neutral and supportive, with no medical diagnosis offered. Overall coherence is maintained but trend relevance and direction are weak.""}"
rag_ab_fixed_llm,8,true,/Users/jan-hsuanchu/dsai/JournalAnalyzer/reports/journal_report_20260509_194713.html,8,5,5,5,False,False,5,4,4,17.913,No unsupported facts or contradictions detected.,"{""question_relevance_1_5"":5,""trend_relevance_1_5"":5,""direction_1_5"":5,""gi_hallucination"":false,""formatting_hygiene_1_5"":4,""clinical_safety_1_5"":5,""internal_coherence_1_5"":4,""gi_details"":""No unsupported facts or contradictions detected.""}"
rag_ab_fixed_llm,9,true,/Users/jan-hsuanchu/dsai/JournalAnalyzer/reports/journal_report_20260509_194731.html,8,4,5,5,False,False,5,5,2,19.094,"The GI summary accurately reflects journal content, summarizing energy fluctuations and depression mention counts without inconsistencies.","{
  ""question_relevance_1_5"": 4,
  ""trend_relevance_1_5"": 5,
  ""direction_1_5"": 5,
  ""gi_hallucination"": false,
  ""formatting_hygiene_1_5"": 2,
  ""clinical_safety_1_5"": 5,
  ""internal_coherence_1_5"": 5,
  ""gi_details"": ""The GI summary accurately reflects journal content, summarizing energy fluctuations and depression mention counts without inconsistencies.""
}"
