variant_label,replicate_index,qc_level,k10_total,frequency_rubric_mean,evidence_relevance_mean,hallucination,qc_overall_score,details,report_path,tier2_skipped_reason,raw_grader_response
LLM_a_nemotron,0,end_to_end,42,4.2,2.2,False,3.2,"The report captures frequent anxiety and restlessness, but evidence cited is general rather than case‑specific.",/Users/jan-hsuanchu/dsai/JournalAnalyzer/reports/journal_report_20260411_235338.html,,"{""frequency_rubric_per_item"":[4,5,4,4,5,4,4,3,4,5],""frequency_rubric_mean"":4.20,""evidence_relevance_per_item"":[2,3,2,2,3,2,2,1,2,3],""evidence_relevance_mean"":2.20,""hallucination"":false,""details"":""The report captures frequent anxiety and restlessness, but evidence cited is general rather than case‑specific.""}"
LLM_a_nemotron,0,rag_aware,42,,,,,,/Users/jan-hsuanchu/dsai/JournalAnalyzer/reports/journal_report_20260411_235338.html,rag_unavailable_or_empty,
LLM_a_nemotron,1,end_to_end,40,3.5,4.1,True,3.8,"Report cites December entries and a 40‑score total, contradicting the provided July‑to‑December data.",/Users/jan-hsuanchu/dsai/JournalAnalyzer/reports/journal_report_20260411_235417.html,,"{
  ""frequency_rubric_per_item"": [4,5,4,3,4,2,3,3,3,4],
  ""frequency_rubric_mean"": 3.50,
  ""evidence_relevance_per_item"": [4,4,5,4,4,4,4,4,4,4],
  ""evidence_relevance_mean"": 4.10,
  ""hallucination"": true,
  ""details"": ""Report cites December entries and a 40‑score total, contradicting the provided July‑to‑December data.""
}"
LLM_a_nemotron,1,rag_aware,40,,,,,,/Users/jan-hsuanchu/dsai/JournalAnalyzer/reports/journal_report_20260411_235417.html,rag_unavailable_or_empty,
LLM_b_gpt-oss,0,end_to_end,32,3.2,3.8,False,3.5,"The report accurately reflects many recurring themes in the diary, scoring items largely on frequent occurrence; evidence relevance is strong except for items lacking explicit excerpts.",/Users/jan-hsuanchu/dsai/JournalAnalyzer/reports/journal_report_20260411_235508.html,,"{
  ""frequency_rubric_per_item"": [4, 4, 3, 2, 4, 3, 3, 2, 4, 3],
  ""frequency_rubric_mean"": 3.20,
  ""evidence_relevance_per_item"": [5, 5, 4, 1, 5, 4, 4, 1, 5, 4],
  ""evidence_relevance_mean"": 3.80,
  ""hallucination"": false,
  ""details"": ""The report accurately reflects many recurring themes in the diary, scoring items largely on frequent occurrence; evidence relevance is strong except for items lacking explicit excerpts.""
}"
LLM_b_gpt-oss,0,rag_aware,32,,,,,,/Users/jan-hsuanchu/dsai/JournalAnalyzer/reports/journal_report_20260411_235508.html,rag_unavailable_or_empty,
LLM_b_gpt-oss,1,end_to_end,26,3.1,3.1,True,3.1,"The report indicates a high distress level, but many item scores lack supporting evidence in the journal, especially for anxiety and sadness. Restlessness, fatigue and a persistent low mood are well documented, yet some claims (e.g., nervousness scores) are unsupported or contradicted by the entries.",/Users/jan-hsuanchu/dsai/JournalAnalyzer/reports/journal_report_20260411_235556.html,,"{""frequency_rubric_per_item"":[5,1,1,4,5,1,4,1,4,5],""frequency_rubric_mean"":3.10,""evidence_relevance_per_item"":[5,1,1,4,5,1,4,1,4,5],""evidence_relevance_mean"":3.10,""hallucination"":true,""details"":""The report indicates a high distress level, but many item scores lack supporting evidence in the journal, especially for anxiety and sadness. Restlessness, fatigue and a persistent low mood are well documented, yet some claims (e.g., nervousness scores) are unsupported or contradicted by the entries.""}"
LLM_b_gpt-oss,1,rag_aware,26,,,,,,/Users/jan-hsuanchu/dsai/JournalAnalyzer/reports/journal_report_20260411_235556.html,rag_unavailable_or_empty,
LLM_c_qwen,0,end_to_end,35,4.0,3.3,False,3.65,"The report’s frequency assessments align well with the diary’s repeated themes, especially for fatigue, anxiety, and effortfulness, though the evidence stays somewhat generic. Overall, the content is grounded in the entries, with no clear fabrication detected.",/Users/jan-hsuanchu/dsai/JournalAnalyzer/reports/journal_report_20260411_235637.html,,"{""frequency_rubric_per_item"":[5,5,3,3,5,3,5,4,4,3],""frequency_rubric_mean"":4.00,""evidence_relevance_per_item"":[4,4,2,3,4,3,4,3,4,2],""evidence_relevance_mean"":3.30,""hallucination"":false,""details"":""The report’s frequency assessments align well with the diary’s repeated themes, especially for fatigue, anxiety, and effortfulness, though the evidence stays somewhat generic. Overall, the content is grounded in the entries, with no clear fabrication detected.""}"
LLM_c_qwen,0,rag_aware,35,,,,,,/Users/jan-hsuanchu/dsai/JournalAnalyzer/reports/journal_report_20260411_235637.html,rag_unavailable_or_empty,
