variant_label,replicate_index,k10_total,frequency_rubric_mean,evidence_relevance_mean,hallucination,details,report_path,raw_grader_response
LLM_a_nemotron,0,36,2.9,3.7,FALSE,"The summary overstates nervousness frequency while lacking data for items like restlessness. Evidence cited for most items is relevant, though item 6 is unsupported.",/Users/jan-hsuanchu/dsai/JournalAnalyzer/reports/journal_report_20260412_130556.html,"{
  ""frequency_rubric_per_item"": [2,5,4,2,4,1,3,3,3,2],
  ""frequency_rubric_mean"": 2.90,
  ""evidence_relevance_per_item"": [4,4,4,4,4,1,4,4,4,4],
  ""evidence_relevance_mean"": 3.50,
  ""hallucination"": false,
  ""details"": ""The summary overstates nervousness frequency while lacking data for items like restlessness. Evidence cited for most items is relevant, though item 6 is unsupported.""
}"
LLM_a_nemotron,1,33,2.8,2,FALSE,"The diary shows periods of anxiety, fatigue, and restlessness, especially during work and social interactions. The writer records proactive coping practices such as journaling, short walks, and grounding techniques, which appear to increase over time. There is a notable amount of self‑reflection about feelings of worthlessness and depression, though these are reported sporadically rather than frequently. Overall, coping strategies are emerging, but core symptoms persist.",/Users/jan-hsuanchu/dsai/JournalAnalyzer/reports/journal_report_20260412_130623.html,"{
  ""frequency_rubric_per_item"": [2,5,2,1,3,3,5,2,3,2],
  ""frequency_rubric_mean"": 2.80,
  ""evidence_relevance_per_item"": [2,2,2,2,2,2,2,2,2,2],
  ""evidence_relevance_mean"": 2.00,
  ""hallucination"": false,
  ""details"": ""The diary shows periods of anxiety, fatigue, and restlessness, especially during work and social interactions. The writer records proactive coping practices such as journaling, short walks, and grounding techniques, which appear to increase over time. There is a notable amount of self‑reflection about feelings of worthlessness and depression, though these are reported sporadically rather than frequently. Overall, coping strategies are emerging, but core symptoms persist.""
}"
LLM_a_nemotron,2,39,3.7,3.8,TRUE,"Journal shows recurring anxiety, fatigue, and effort, with occasional depressive themes. The report summarizes useful patterns but overstates frequency for some items and cites non‑existent diary entries, indicating hallucinations.",/Users/jan-hsuanchu/dsai/JournalAnalyzer/reports/journal_report_20260412_130655.html,"{
  ""frequency_rubric_per_item"": [4,4,3,3,3,4,4,5,4,3],
  ""frequency_rubric_mean"": 3.70,
  ""evidence_relevance_per_item"": [4,4,4,3,4,4,4,4,4,3],
  ""evidence_relevance_mean"": 3.90,
  ""hallucination"": true,
  ""details"": ""Journal shows recurring anxiety, fatigue, and effort, with occasional depressive themes. The report summarizes useful patterns but overstates frequency for some items and cites non‑existent diary entries, indicating hallucinations.""
}"
LLM_a_nemotron,3,41,2.6,4.2,TRUE,"The report accurately documents the frequent nervousness, hypervigilance and low mood but incorrectly asserts tiredness without diary support. Evidence is generally relevant, though the tired claim is hallucinated. The overall frequency rubric shows high anxiety but low tiredness, and the summary could better reflect the limited evidence for hopelessness and worthlessness.",/Users/jan-hsuanchu/dsai/JournalAnalyzer/reports/journal_report_20260412_130740.html,"{
  ""frequency_rubric_per_item"": [1,4,3,2,3,2,2,3,3,3],
  ""frequency_rubric_mean"": 2.60,
  ""evidence_relevance_per_item"": [1,5,5,4,5,4,4,5,4,5],
  ""evidence_relevance_mean"": 4.20,
  ""hallucination"": true,
  ""details"": ""The report accurately documents the frequent nervousness, hypervigilance and low mood but incorrectly asserts tiredness without diary support. Evidence is generally relevant, though the tired claim is hallucinated. The overall frequency rubric shows high anxiety but low tiredness, and the summary could better reflect the limited evidence for hopelessness and worthlessness.""
}"
LLM_a_nemotron,4,42,1,1,FALSE,"Report assigns a very high overall distress but provides limited, largely missing evidence for most items, reducing interpretive strength; only item 1 is well-supported. No evident contradictions with diary entries. Future reviews should include concrete quotes for each item.",/Users/jan-hsuanchu/dsai/JournalAnalyzer/reports/journal_report_20260412_130820.html,"{
  ""frequency_rubric_per_item"": [1,1,1,1,1,1,1,1,1,1],
  ""frequency_rubric_mean"": 1.00,
  ""evidence_relevance_per_item"": [1,1,1,1,1,1,1,1,1,1],
  ""evidence_relevance_mean"": 1.00,
  ""hallucination"": false,
  ""details"": ""Report assigns a very high overall distress but provides limited, largely missing evidence for most items, reducing interpretive strength; only item 1 is well-supported. No evident contradictions with diary entries. Future reviews should include concrete quotes for each item.""
}"
LLM_a_nemotron,5,34,2,1.1,TRUE,"The report offers a high total K10 score but provides little item‑specific evidence, rendering the frequency claims unsupported and the item scores questionable.",/Users/jan-hsuanchu/dsai/JournalAnalyzer/reports/journal_report_20260412_130840.html,"{
  ""frequency_rubric_per_item"": [2,2,2,2,2,2,2,2,2,2],
  ""frequency_rubric_mean"": 2.00,
  ""evidence_relevance_per_item"": [2,1,1,1,1,1,1,1,1,1],
  ""evidence_relevance_mean"": 1.10,
  ""hallucination"": true,
  ""details"": ""The report offers a high total K10 score but provides little item‑specific evidence, rendering the frequency claims unsupported and the item scores questionable.""
}"
LLM_a_nemotron,6,41,1.3,1.4,TRUE,"The report includes evidence that is largely mismatched to the item stems, lacks actual per-item scores, and therefore appears fabricated; frequency support is minimal.",/Users/jan-hsuanchu/dsai/JournalAnalyzer/reports/journal_report_20260412_130907.html,"{
  ""frequency_rubric_per_item"": [1,3,1,1,2,1,1,1,1,1],
  ""frequency_rubric_mean"": 1.30,
  ""evidence_relevance_per_item"": [1,3,1,1,3,1,1,1,1,1],
  ""evidence_relevance_mean"": 1.50,
  ""hallucination"": true,
  ""details"": ""The report includes evidence that is largely mismatched to the item stems, lacks actual per-item scores, and therefore appears fabricated; frequency support is minimal.""
}"
LLM_a_nemotron,7,36,2.5,3.3,FALSE,"The report misaligns evidence with K10 items, especially for nervousness, hopelessness, and worthlessness, reducing relevance. Restlessness appears frequently in the diary, while sadness and hopelessness are rare. No glaring fabricated facts were found, so hallucination is judged false.",/Users/jan-hsuanchu/dsai/JournalAnalyzer/reports/journal_report_20260412_130935.html,"{
  ""frequency_rubric_per_item"": [3,4,1,1,5,5,2,1,2,1],
  ""frequency_rubric_mean"": 2.40,
  ""evidence_relevance_per_item"": [2,4,2,3,4,5,2,4,2,5],
  ""evidence_relevance_mean"": 3.30,
  ""hallucination"": false,
  ""details"": ""The report misaligns evidence with K10 items, especially for nervousness, hopelessness, and worthlessness, reducing relevance. Restlessness appears frequently in the diary, while sadness and hopelessness are rare. No glaring fabricated facts were found, so hallucination is judged false.""
}"
LLM_a_nemotron,8,43,3.1,1,TRUE,"The report states no discernible themes while assigning a very high total distress score, contradicting the diary’s frequent anxiety, depression, and effort perceptions. Evidence cited is minimal and often unrelated to the specific items, evidencing a mismatch between assessment and content.",/Users/jan-hsuanchu/dsai/JournalAnalyzer/reports/journal_report_20260412_131011.html,"{""frequency_rubric_per_item"":[4,5,4,2,2,2,4,2,5,1],""frequency_rubric_mean"":3.1,""evidence_relevance_per_item"":[1,1,1,1,1,1,1,1,1,1],""evidence_relevance_mean"":1.0,""hallucination"":true,""details"":""The report states no discernible themes while assigning a very high total distress score, contradicting the diary’s frequent anxiety, depression, and effort perceptions. Evidence cited is minimal and often unrelated to the specific items, evidencing a mismatch between assessment and content.""}"
LLM_a_nemotron,9,44,3.6,2.5,TRUE,"Diary indicates frequent anxiety, fatigue, restlessness, and moderate sadness, but the report’s evidence is often mismatched to each K‑10 item. The reported K‑10 scores appear inflated and unsupported, suggesting the report may be hallucinating or over‑interpreting the journal content.",/Users/jan-hsuanchu/dsai/JournalAnalyzer/reports/journal_report_20260412_131039.html,"{
  ""frequency_rubric_per_item"": [5,5,4,3,4,3,4,2,3,3],
  ""frequency_rubric_mean"": 3.60,
  ""evidence_relevance_per_item"": [2,4,2,2,2,3,3,2,2,3],
  ""evidence_relevance_mean"": 2.50,
  ""hallucination"": true,
  ""details"": ""Diary indicates frequent anxiety, fatigue, restlessness, and moderate sadness, but the report’s evidence is often mismatched to each K‑10 item. The reported K‑10 scores appear inflated and unsupported, suggesting the report may be hallucinating or over‑interpreting the journal content.""
}"
