variant_label,replicate_index,report_path,trend_keyword_total_count,question_relevance_1_5,trend_relevance_1_5,direction_1_5,correlation_analysis_present,gi_hallucination,clinical_safety_1_5,internal_coherence_1_5,formatting_hygiene_1_5,replicate_duration_s,gi_details,raw_gi_grader_response
agent2_baseline,0,/Users/jan-hsuanchu/dsai/JournalAnalyzer/reports/journal_report_20260509_211720.html,8,5,5,5,False,False,5,5,4,37.034,"The summary directly answers the question about energy, covering fluctuations and coping. It cites depression trends, showing a stable count. The text matches observations and remains neutral, without hallucinated facts. List markers appear but are contained within a bracketed array rather than a plain list.","{
  ""question_relevance_1_5"": 5,
  ""trend_relevance_1_5"": 5,
  ""direction_1_5"": 5,
  ""gi_hallucination"": false,
  ""formatting_hygiene_1_5"": 4,
  ""clinical_safety_1_5"": 5,
  ""internal_coherence_1_5"": 5,
  ""gi_details"": ""The summary directly answers the question about energy, covering fluctuations and coping. It cites depression trends, showing a stable count. The text matches observations and remains neutral, without hallucinated facts. List markers appear but are contained within a bracketed array rather than a plain list.""
}"
agent2_baseline,1,/Users/jan-hsuanchu/dsai/JournalAnalyzer/reports/journal_report_20260509_211757.html,8,4,4,4,False,False,5,4,4,18.634,"The report accurately reflects the journal’s recurring “wired and tired” states, the impact of anxiety on fatigue, and the use of grounding, naps and hydration to recover. It correctly notes the absence of a clear depression trend and highlights sleep consistency and paced deep‑work as suggestions, with no unsupported facts. The bullet‑style headings and brief actionable recommendations align with the journal content. ","{""question_relevance_1_5"":4,""trend_relevance_1_5"":4,""direction_1_5"":4,""gi_hallucination"":false,""formatting_hygiene_1_5"":4,""clinical_safety_1_5"":5,""internal_coherence_1_5"":4,""gi_details"":""The report accurately reflects the journal’s recurring “wired and tired” states, the impact of anxiety on fatigue, and the use of grounding, naps and hydration to recover. It correctly notes the absence of a clear depression trend and highlights sleep consistency and paced deep‑work as suggestions, with no unsupported facts. The bullet‑style headings and brief actionable recommendations align with the journal content. ""}"
agent2_baseline,2,/Users/jan-hsuanchu/dsai/JournalAnalyzer/reports/journal_report_20260509_211816.html,8,4,5,5,False,False,5,5,3,25.256,"The General Insights consistently reference information present in the excerpt, such as the April energy dip, short naps effect, and depression mention count. No unsupported dates, quotes, or facts appear, and the trend observations align with the descriptive entries. Therefore, no GI hallucination detected.","{
  ""question_relevance_1_5"": 4,
  ""trend_relevance_1_5"": 5,
  ""direction_1_5"": 5,
  ""gi_hallucination"": false,
  ""formatting_hygiene_1_5"": 3,
  ""clinical_safety_1_5"": 5,
  ""internal_coherence_1_5"": 5,
  ""gi_details"": ""The General Insights consistently reference information present in the excerpt, such as the April energy dip, short naps effect, and depression mention count. No unsupported dates, quotes, or facts appear, and the trend observations align with the descriptive entries. Therefore, no GI hallucination detected.""
}"
agent2_baseline,3,/Users/jan-hsuanchu/dsai/JournalAnalyzer/reports/journal_report_20260509_211841.html,8,4,4,5,False,False,5,5,4,17.749,The summary avoided hallucinations by relying only on journal excerpts and direct counts provided in the report.,"{""question_relevance_1_5"":4,""trend_relevance_1_5"":4,""direction_1_5"":5,""gi_hallucination"":false,""formatting_hygiene_1_5"":4,""clinical_safety_1_5"":5,""internal_coherence_1_5"":5,""gi_details"":""The summary avoided hallucinations by relying only on journal excerpts and direct counts provided in the report.""}"
agent2_baseline,4,/Users/jan-hsuanchu/dsai/JournalAnalyzer/reports/journal_report_20260509_211859.html,8,4,5,5,False,True,5,4,2,17.581,"The report claims 147 entries covering the entire year, but the excerpt only shows 16 entries. This unsupported claim constitutes a hallucination of scope and quantity.","{
  ""question_relevance_1_5"": 4,
  ""trend_relevance_1_5"": 5,
  ""direction_1_5"": 5,
  ""gi_hallucination"": true,
  ""formatting_hygiene_1_5"": 2,
  ""clinical_safety_1_5"": 5,
  ""internal_coherence_1_5"": 4,
  ""gi_details"": ""The report claims 147 entries covering the entire year, but the excerpt only shows 16 entries. This unsupported claim constitutes a hallucination of scope and quantity.""
}"
agent2_baseline,5,/Users/jan-hsuanchu/dsai/JournalAnalyzer/reports/journal_report_20260509_211917.html,8,4,5,5,False,False,5,4,4,18.644,"The General Insights constructively answer the user’s energy query, noting marked improvements from naps and grounding while acknowledging a persistent anxiety‑fatigue loop. The trend discussion accurately tracks depression mentions with no clear trend, matching the keyword. No unsupported facts are presented, the formatting employs standard bullet lists, and the tone remains neutral and supportive. Minor structural redundancy is present but does not hinder overall coherence.","{
  ""question_relevance_1_5"": 4,
  ""trend_relevance_1_5"": 5,
  ""direction_1_5"": 5,
  ""gi_hallucination"": false,
  ""formatting_hygiene_1_5"": 4,
  ""clinical_safety_1_5"": 5,
  ""internal_coherence_1_5"": 4,
  ""gi_details"": ""The General Insights constructively answer the user’s energy query, noting marked improvements from naps and grounding while acknowledging a persistent anxiety‑fatigue loop. The trend discussion accurately tracks depression mentions with no clear trend, matching the keyword. No unsupported facts are presented, the formatting employs standard bullet lists, and the tone remains neutral and supportive. Minor structural redundancy is present but does not hinder overall coherence.""
}"
agent2_baseline,6,/Users/jan-hsuanchu/dsai/JournalAnalyzer/reports/journal_report_20260509_211935.html,8,3,4,4,False,True,5,4,2,19.032,"The report claims 147 entries and eight mentions of depression, but the provided excerpt contains only 16 entries, so that statistic seems inconsistent with the excerpt and likely is a hallucination.","{
  ""question_relevance_1_5"": 3,
  ""trend_relevance_1_5"": 4,
  ""direction_1_5"": 4,
  ""gi_hallucination"": true,
  ""formatting_hygiene_1_5"": 2,
  ""clinical_safety_1_5"": 5,
  ""internal_coherence_1_5"": 4,
  ""gi_details"": ""The report claims 147 entries and eight mentions of depression, but the provided excerpt contains only 16 entries, so that statistic seems inconsistent with the excerpt and likely is a hallucination.""
}"
agent2_baseline,7,/Users/jan-hsuanchu/dsai/JournalAnalyzer/reports/journal_report_20260509_211954.html,8,4,4,3,False,False,5,4,4,21.448,No factual inaccuracies detected; all statements align with the provided journal excerpt.,"{
  ""question_relevance_1_5"": 4,
  ""trend_relevance_1_5"": 4,
  ""direction_1_5"": 3,
  ""gi_hallucination"": false,
  ""formatting_hygiene_1_5"": 4,
  ""clinical_safety_1_5"": 5,
  ""internal_coherence_1_5"": 4,
  ""gi_details"": ""No factual inaccuracies detected; all statements align with the provided journal excerpt.""
}"
agent2_baseline,8,/Users/jan-hsuanchu/dsai/JournalAnalyzer/reports/journal_report_20260509_212016.html,8,5,4,5,False,True,5,5,4,19.851,"The report claims November–December entries show persistent low energy, but the provided excerpt only covers January–April, making that claim unsupported. This constitutes a hallucination of unverified time‑period details.","{
  ""question_relevance_1_5"": 5,
  ""trend_relevance_1_5"": 4,
  ""direction_1_5"": 5,
  ""gi_hallucination"": true,
  ""formatting_hygiene_1_5"": 4,
  ""clinical_safety_1_5"": 5,
  ""internal_coherence_1_5"": 5,
  ""gi_details"": ""The report claims November–December entries show persistent low energy, but the provided excerpt only covers January–April, making that claim unsupported. This constitutes a hallucination of unverified time‑period details.""
}"
agent2_baseline,9,/Users/jan-hsuanchu/dsai/JournalAnalyzer/reports/journal_report_20260509_212036.html,8,4,5,5,True,False,5,5,4,25.395,"The General Insights accurately reflect the journal excerpts, with no unsupported claims or contradictions noted.","{
  ""question_relevance_1_5"": 4,
  ""trend_relevance_1_5"": 5,
  ""direction_1_5"": 5,
  ""gi_hallucination"": false,
  ""formatting_hygiene_1_5"": 4,
  ""clinical_safety_1_5"": 5,
  ""internal_coherence_1_5"": 5,
  ""gi_details"": ""The General Insights accurately reflect the journal excerpts, with no unsupported claims or contradictions noted.""
}"
