variant_label,replicate_index,k10_total,frequency_rubric_mean,evidence_relevance_mean,hallucination,details,report_path,raw_grader_response
prompt_baseline,0,33,3,3.7,FALSE,"Report captures frequent nervousness and restlessness across many days, scoring high on anxiety items. Evidence largely aligns with diary entries—references to hypervigilance, tight chest, and fatigue. Depressive markers appear modest, consistent with low mood descriptions. Some items lack clear evidence, reflected in low scores, particularly hopelessness and worthlessness. Overall, the analysis coherently reflects diary patterns, with minor over‑reuse of cues but no fabricated content.",/Users/jan-hsuanchu/dsai/JournalAnalyzer/reports/journal_report_20260508_170707.html,"{  
  ""frequency_rubric_per_item"": [5,5,4,1,4,2,2,1,2,4],  
  ""frequency_rubric_mean"": 3.00,  
  ""evidence_relevance_per_item"": [5,5,5,1,4,4,4,1,4,4],  
  ""evidence_relevance_mean"": 3.70,  
  ""hallucination"": false,  
  ""details"": ""Report captures frequent nervousness and restlessness across many days, scoring high on anxiety items. Evidence largely aligns with diary entries—references to hypervigilance, tight chest, and fatigue. Depressive markers appear modest, consistent with low mood descriptions. Some items lack clear evidence, reflected in low scores, particularly hopelessness and worthlessness. Overall, the analysis coherently reflects diary patterns, with minor over‑reuse of cues but no fabricated content.""}"
prompt_baseline,1,28,3.5,3.3,FALSE,"The analysis reliably matches the diary, grading fatigue, anxiety, and restlessness high; hopelessness and worthlessness low; evidence citations largely align with themes where present, but some items lack statements.",/Users/jan-hsuanchu/dsai/JournalAnalyzer/reports/journal_report_20260508_170826.html,"{
  ""frequency_rubric_per_item"": [5,5,3,1,5,3,3,1,4,5],
  ""frequency_rubric_mean"": 3.40,
  ""evidence_relevance_per_item"": [5,5,1,1,5,4,5,1,5,1],
  ""evidence_relevance_mean"": 3.30,
  ""hallucination"": false,
  ""details"": ""The analysis reliably matches the diary, grading fatigue, anxiety, and restlessness high; hopelessness and worthlessness low; evidence citations largely align with themes where present, but some items lack statements.""
}"
prompt_baseline,2,27,2.6,2.5,FALSE,"Tiredness and anxiety appear frequently, whereas hopelessness and worthlessness were rarely referenced. Evidence for tiredness, anxiety, depression, and effort aligns well with reported scores. However, several items lack supporting evidence, limiting confidence. Overall, the diary reflects recurrent mild-to-moderate distress with sporadic depressive tones.",/Users/jan-hsuanchu/dsai/JournalAnalyzer/reports/journal_report_20260508_170910.html,"{
  ""frequency_rubric_per_item"": [4, 4, 3, 1, 1, 1, 4, 3, 4, 1],
  ""frequency_rubric_mean"": 2.60,
  ""evidence_relevance_per_item"": [4, 4, 1, 1, 1, 1, 4, 4, 4, 1],
  ""evidence_relevance_mean"": 2.50,
  ""hallucination"": false,
  ""details"": ""Tiredness and anxiety appear frequently, whereas hopelessness and worthlessness were rarely referenced. Evidence for tiredness, anxiety, depression, and effort aligns well with reported scores. However, several items lack supporting evidence, limiting confidence. Overall, the diary reflects recurrent mild-to-moderate distress with sporadic depressive tones.""
}"
prompt_baseline,3,22,1.8,1.8,FALSE,"The report captures anxiety and intrusive thoughts well, but lacks supporting evidence for restlessness, depression, or hopelessness. Frequency evaluations are often low for items with sparse or absent diary references, resulting in a low mean rubric. More concrete diary excerpts would strengthen the assessment.",/Users/jan-hsuanchu/dsai/JournalAnalyzer/reports/journal_report_20260508_170958.html,"{
  ""frequency_rubric_per_item"": [2,4,4,1,1,1,1,1,2,1],
  ""frequency_rubric_mean"": 1.90,
  ""evidence_relevance_per_item"": [1,5,5,1,1,1,1,1,1,1],
  ""evidence_relevance_mean"": 1.70,
  ""hallucination"": false,
  ""details"": ""The report captures anxiety and intrusive thoughts well, but lacks supporting evidence for restlessness, depression, or hopelessness. Frequency evaluations are often low for items with sparse or absent diary references, resulting in a low mean rubric. More concrete diary excerpts would strengthen the assessment.""
}"
prompt_baseline,4,32,3.1,4.5,FALSE,"The report correctly identifies recurring themes but presents sparse individual evidence; completeness could be improved, especially for the worthlessness item.",/Users/jan-hsuanchu/dsai/JournalAnalyzer/reports/journal_report_20260508_171218.html,"{
  ""frequency_rubric_per_item"": [4,4,3,3,4,3,3,3,2,2],
  ""frequency_rubric_mean"": 3.10,
  ""evidence_relevance_per_item"": [5,5,5,5,5,5,5,5,4,1],
  ""evidence_relevance_mean"": 4.50,
  ""hallucination"": false,
  ""details"": ""The report correctly identifies recurring themes but presents sparse individual evidence; completeness could be improved, especially for the worthlessness item.""
}"
prompt_baseline,5,25,1.7,1.3,TRUE,"The journal shows frequent and recurrent anxiety, with evidence of panic cues and rumination. Coping tactics—grounding, gratitude journaling, physical activity—appear consistently. Instances of low mood, hopelessness, and worthlessness are infrequent but present, indicating a modest depressive element. The report’s high ratings for nervousness seem disproportionate, and evidence for many items is missing or vague, reducing confidence in the K‑10 scoring.",/Users/jan-hsuanchu/dsai/JournalAnalyzer/reports/journal_report_20260508_171324.html,"{""frequency_rubric_per_item"":[2,4,1,1,1,2,2,1,2,1],""frequency_rubric_mean"":1.70,""evidence_relevance_per_item"":[1,4,1,1,1,1,1,1,1,1],""evidence_relevance_mean"":1.20,""hallucination"":true,""details"":""The journal shows frequent and recurrent anxiety, with evidence of panic cues and rumination. Coping tactics—grounding, gratitude journaling, physical activity—appear consistently. Instances of low mood, hopelessness, and worthlessness are infrequent but present, indicating a modest depressive element. The report’s high ratings for nervousness seem disproportionate, and evidence for many items is missing or vague, reducing confidence in the K‑10 scoring.""}"
prompt_baseline,6,32,2.4,3.4,TRUE,"The report mismatched the number of entries and omitted item evidence, but overall evidence aligned with the diary for most symptoms.",/Users/jan-hsuanchu/dsai/JournalAnalyzer/reports/journal_report_20260508_171411.html,"{""frequency_rubric_per_item"":[3,3,2,1,3,3,2,1,3,3],""frequency_rubric_mean"":2.20,""evidence_relevance_per_item"":[4,4,4,1,4,4,4,1,4,4],""evidence_relevance_mean"":3.40,""hallucination"":true,""details"":""The report mismatched the number of entries and omitted item evidence, but overall evidence aligned with the diary for most symptoms.""}"
prompt_baseline,7,33,2.2,3.2,FALSE,"The report cites limited, spot‑tying evidence for several items and omits evidence for others. Frequency ratings largely reflect sparse mention across entries, with some core themes like nervousness and sadness recurring, but restlessness and worthlessness are minimally discussed.",/Users/jan-hsuanchu/dsai/JournalAnalyzer/reports/journal_report_20260508_171511.html,"{
  ""frequency_rubric_per_item"": [2,3,2,3,2,3,2,1,3,1],
  ""frequency_rubric_mean"": 2.20,
  ""evidence_relevance_per_item"": [5,4,2,4,1,5,4,1,5,1],
  ""evidence_relevance_mean"": 3.20,
  ""hallucination"": false,
  ""details"": ""The report cites limited, spot‑tying evidence for several items and omits evidence for others. Frequency ratings largely reflect sparse mention across entries, with some core themes like nervousness and sadness recurring, but restlessness and worthlessness are minimally discussed.""
}"
prompt_baseline,8,29,2.2,2.6,FALSE,"The report gives sparse, sometimes inaccurate evidence for many K‑10 items. Frequency assessments are too high for items with little support, and many items lack any cited excerpts. Evidence relevance scores drop sharply where content is missing or vague. No clear hallucinations were found, but the overall narrative is weakly supported and could mislead a reader about the diary’s actual content.",/Users/jan-hsuanchu/dsai/JournalAnalyzer/reports/journal_report_20260508_171554.html,"{
  ""frequency_rubric_per_item"": [4,4,4,1,1,1,1,1,4,1],
  ""frequency_rubric_mean"": 2.20,
  ""evidence_relevance_per_item"": [5,5,5,1,1,1,1,1,5,1],
  ""evidence_relevance_mean"": 2.60,
  ""hallucination"": false,
  ""details"": ""The report gives sparse, sometimes inaccurate evidence for many K‑10 items. Frequency assessments are too high for items with little support, and many items lack any cited excerpts. Evidence relevance scores drop sharply where content is missing or vague. No clear hallucinations were found, but the overall narrative is weakly supported and could mislead a reader about the diary’s actual content.""
}"
prompt_baseline,9,20,2.8,2.2,FALSE,"The report contains some mismatched evidence and limited depth, but frequency assessment aligns with diary recurrence; hallucinations are not evident.",/Users/jan-hsuanchu/dsai/JournalAnalyzer/reports/journal_report_20260508_171639.html,"{
  ""frequency_rubric_per_item"": [3,4,2,1,4,3,3,1,3,4],
  ""frequency_rubric_mean"": 2.80,
  ""evidence_relevance_per_item"": [4,4,1,1,4,1,4,1,1,1],
  ""evidence_relevance_mean"": 2.20,
  ""hallucination"": false,
  ""details"": ""The report contains some mismatched evidence and limited depth, but frequency assessment aligns with diary recurrence; hallucinations are not evident.""
}"
